sample1,,sample2,,sample1redo,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
711,0.0003672182502,711,-0.0004051851865,711,0.0048358934,
710,0.000424789323,710,-0.0004189434694,710,0.004831286613,
709,0.0003730993776,709,-0.0004302187299,709,0.0048015262,
708,0.0004772110551,708,-0.0004478550982,708,0.004856939428,
707,0.0004094241885,707,-0.0004421143094,707,0.004815555643,
706,0.0003147320822,706,-0.000520306814,706,0.004773285706,
705,0.0004173528578,705,-0.0004995706258,705,0.004847567994,
704,0.0004025580129,704,-0.0005352506996,704,0.004851808771,
703,0.0003860018332,703,-0.0005004497361,703,0.00492099952,
702,0.0003843177692,702,-0.00048591831,702,0.004898746498,
701,0.0003999151813,701,-0.0004770234227,701,0.004916051403,
700,0.0003883336612,700,-0.0004917102633,700,0.004939666949,
699,0.000448576553,699,-0.0005066551385,699,0.004995595664,
698,0.0003583837533,698,-0.0004987432039,698,0.00502034137,
697,0.0003876341216,697,-0.0004948647693,697,0.004971243907,
696,0.0003615703608,696,-0.0004623360583,696,0.00496804947,
695,0.0003743429552,695,-0.0005076893722,695,0.004971452989,
694,0.0004070922732,694,-0.0004585607385,694,0.005042889155,
693,0.0004102015228,693,-0.0004540612863,693,0.005062452052,
692,0.0003346532758,692,-0.0005232542753,692,0.004984676372,
691,0.0004034907615,691,-0.0004290291399,691,0.005068894941,
690,0.0004160573008,690,-0.0004562851682,690,0.005116903223,
689,0.0003743170528,689,-0.0004988466389,689,0.005057449918,
688,0.0003288762819,688,-0.0004473896406,688,0.005086363759,
687,0.00032449828,687,-0.0004821948824,687,0.005077589769,
686,0.0003467256029,686,-0.0004893314326,686,0.005107736215,
685,0.0004125075357,685,-0.0005096544046,685,0.005174269434,
684,0.0004128443834,684,-0.0004878834588,684,0.005168715958,
683,0.0003274255723,683,-0.0005284768995,683,0.005103283562,
682,0.0003769078758,682,-0.0004938304774,682,0.005168742035,
681,0.0003836959659,681,-0.0004785748606,681,0.005221713334,
680,0.0003498085134,680,-0.0004964678665,680,0.005184381269,
679,0.0003794987279,679,-0.0004532855237,679,0.005244009197,
678,0.0004405436921,678,-0.0003929265076,678,0.00533197308,
677,0.0003770633484,677,-0.0004167711304,677,0.005305086728,
676,0.000387245469,676,-0.0004772302636,676,0.005344027653,
675,0.0003495753335,675,-0.0004647150345,675,0.005345023703,
674,0.0003497048747,674,-0.0004669905757,674,0.005335772876,
673,0.0003699644876,673,-0.000464249606,673,0.005298693199,
672,0.0004394294519,672,-0.0003594073351,672,0.005408055149,
671,0.0003850173089,671,-0.0004122195533,671,0.005394006614,
670,0.0003978942405,670,-0.000424167345,670,0.005428001285,
669,0.0004291683726,669,-0.0003940644674,669,0.005424803589,
668,0.0003826596076,668,-0.0004125298874,668,0.005448106211,
667,0.0004100719525,667,-0.000425150065,667,0.005472406279,
666,0.0003861832083,666,-0.0003844434978,666,0.005457752384,
665,0.0004424871004,665,-0.0003986679658,665,0.005499276333,
664,0.0004349466763,664,-0.0004302187299,664,0.005526122171,
663,0.0004438345495,663,-0.0004061162181,663,0.005521901418,
662,0.0003939041635,662,-0.0004112368042,662,0.005544160493,
661,0.0003988269891,661,-0.0003838228004,661,0.005587344524,
660,0.0004767705104,660,-0.0003823227307,660,0.005607377738,
659,0.000380768266,659,-0.0004409247776,659,0.005566944834,
658,0.0004198662064,658,-0.0003736843355,658,0.005625314545,
657,0.0003920645977,657,-0.0003800984996,657,0.005617499817,
656,0.0004416320007,656,-0.0003873918904,656,0.005639501382,
655,0.0004214986111,655,-0.0003699082299,655,0.005629955791,
654,0.000358124671,654,-0.0004280981666,654,0.005588786677,
653,0.0003784105938,653,-0.0004311497032,653,0.005638242699,
652,0.0004264735617,652,-0.0003955644788,652,0.005687337369,
651,0.0004108751891,651,-0.0004012541904,651,0.00566737866,
650,0.0003846545878,650,-0.0003732187906,650,0.005707480013,
649,0.0004241933639,649,-0.0003308001906,649,0.005718732253,
648,0.0004210062907,648,-0.0003724428825,648,0.005764530506,
647,0.0004152281617,647,-0.0003703220573,647,0.005759363063,
646,0.0004595377832,646,-0.0003668045392,646,0.005814426579,
645,0.0004273804661,645,-0.0003579589247,645,0.00583966542,
644,0.0004924489767,644,-0.0003444573667,644,0.005827019457,
643,0.0004683484149,643,-0.0003543896019,643,0.005849346519,
642,0.0003993969876,642,-0.0004061679356,642,0.005844755098,
641,0.0004079473147,641,-0.0003901850723,641,0.005856981501,
640,0.0004374342388,640,-0.0003771500778,640,0.005927303806,
639,0.00049172336,639,-0.0003184359521,639,0.005953598768,
638,0.0004200735129,638,-0.0003718738735,638,0.005914891604,
637,0.000432588713,637,-0.0003823227307,637,0.005874561146,
636,0.0004291424411,636,-0.0004048231349,636,0.005936698057,
635,0.0004184411082,635,-0.000391219568,635,0.005956957582,
634,0.000454666093,634,-0.0003646319383,634,0.005989369471,
633,0.0004189852334,633,-0.0003854780225,633,0.005978976376,
632,0.0004494575842,632,-0.0003657182388,632,0.006043648347,
631,0.0004356722056,631,-0.0003156940511,631,0.006056799553,
630,0.0003867273044,630,-0.000401616242,630,0.006048163399,
629,0.0004477991606,629,-0.0003699082299,629,0.00608711876,
628,0.0004464258091,628,-0.0003887884959,628,0.006078114267,
627,0.000428313273,627,-0.0003588383261,627,0.006125919987,
626,0.000468814862,626,-0.0003794777731,626,0.006127074827,
625,0.000491541985,625,-0.0003639077477,625,0.006145767868,
624,0.0004604447458,624,-0.0004027541727,624,0.006165459752,
623,0.0003827632463,623,-0.0003581141063,623,0.00617892947,
622,0.0004567132273,622,-0.0003765293513,622,0.006196994334,
621,0.0004676746612,621,-0.000390443689,621,0.006241372786,
620,0.0004617663217,620,-0.0003646836849,620,0.006239534356,
619,0.0004585271527,619,-0.0003347835736,619,0.00629245257,
618,0.0004298938729,618,-0.0003852711234,618,0.006297127809,
617,0.0004444564402,617,-0.0003791156923,617,0.006324574351,
616,0.0004219909315,616,-0.0003550103575,616,0.006332139019,
615,0.0004155131755,615,-0.0003509754024,615,0.006341279484,
614,0.0004695145471,614,-0.0003810813068,614,0.006391846109,
613,0.0004076363984,613,-0.00036204551,613,0.00641041901,
612,0.000468244747,612,-0.000335093966,612,0.006481356453,
611,0.0004769519146,611,-0.0002851179743,611,0.006437452976,
610,0.0004937447957,610,-0.0002919473336,610,0.006473500282,
