FLMT06513_1:101,
290,116.82
291,1.3
291,135.99
291,12.38
291,152.26
291,36.84
292,-42.27
292,32.31
292,21.87
292,-21.62
292,18.06
293,104.54
293,56.78
293,85.86
293,159.34
293,47.29
294,55.09
294,78.93
294,73.44
294,10.6
295,113.55
295,66.55
295,111.57
295,81.28
295,77.72
296,154.57
296,97.75
296,242.59
296,237.68
296,128.86
297,214.28
297,138.2
297,169.07
297,141.86
298,142.77
298,177.35
298,175.04
298,94.09
298,172.97
299,244.38
299,257.71
299,143.45
299,246.93
299,229.98
300,227.57
300,236.38
300,243.61
300,233.45
300,453.36
301,421.77
301,385.75
301,534.44
301,446.52
302,525.3
302,544.89
302,527.41
302,514.08
302,452.97
303,408.91
303,487.88
303,542.87
303,543.11
303,629.5
304,671.92
304,654.49
304,681.02
304,761.58
304,727.1
305,905.26
305,806.21
305,870.74
305,963.67
306,898.52
306,966.56
306,1005.76
306,1071.34
306,1215.94
307,1191.72
307,1244.54
307,1355.39
307,1364.35
307,1340.41
308,1301.27
308,1386.11
308,1482.41
308,1487.76
308,1565.33
309,1545.83
309,1648.97
309,1673.82
309,1631.59
310,1742.15
310,1884.58
310,1797.52
310,1937.45
310,1876.35
311,2062.5
311,1990.03
311,2157.7
311,2509.16
311,2928.33
312,3144.58
312,3714.55
312,4286.02
312,4170.79
312,4062.55
313,3890.02
313,3409.08
313,2915.76
313,2779.73
314,2545.18
314,2656.56
314,2600.51
314,2557.17
314,2577.87
315,2508.29
315,2724.98
315,2731.48
315,2724.83
315,2726.91
316,2741.5
316,2768.6
316,2871.55
316,2842.04
316,2856.19
317,2977.87
317,2862.69
317,2949.8
317,3035.46
318,2950.38
318,2986.16
318,2979.8
318,3000.46
318,3027.9
319,3047.41
319,3123.05
319,3099.51
319,3160.51
319,3146.55
320,3140.92
320,3145.4
320,3182.81
320,3098.06
320,3235.15
321,3125.7
321,3227.4
321,3142.7
321,3159.12
322,3263.95
322,3239.53
322,3180.59
322,3271.46
322,3155.31
323,3202.65
323,3127.43
323,3249.79
323,3279.59
323,3103.84
324,3045.72
324,3194.22
324,3249.55
324,3188.49
324,3144.19
325,3035.32
325,3246.47
325,3101.14
325,3208.81
326,3243.58
326,3143.42
326,3115.97
326,3229.08
326,3890.6
327,3129.75
327,3118.19
327,3152.62
327,3140.92
327,3110.24
328,3073.12
328,3242.9
328,3268.42
328,3252.82
328,3214.35
329,3272.85
329,3205.49
329,3268.57
329,3194.9
330,3271.6
330,3323.99
330,3329.14
330,3183.39
330,3348.36
331,3345.66
331,3334.83
331,3273.48
331,3375.32
331,3287.35
332,3466.33
332,3393.81
332,3417.36
332,3394.92
332,3484.43
333,3487.56
333,3703.24
333,3626.05
333,3693.22
333,3788.9
334,3664.52
334,3743.06
334,3609.39
334,3694.23
335,3597.59
335,3656.72
335,3649.98
335,3512.7
335,3553.82
336,3683.54
336,3567.16
336,3752.93
336,3590.71
336,3626.48
337,3638.42
337,3644.92
337,3646.51
337,3612.04
337,3693.65
338,3609.29
338,3829.25
338,3673.72
338,3763.86
339,3549.49
339,3739.64
339,3662.16
339,3750.76
339,3619.5
340,3556.71
340,3745.76
340,3841.19
340,3645.41
340,3632.69
341,3586.08
341,3668.09
341,3586.52
341,3546.16
341,3647
342,3568.89
342,3523.34
342,3500.71
342,3351.39
342,3509.14
343,3534.32
343,3382.74
343,3324.95
343,3451.06
344,3351.73
344,3459.01
344,3366.7
344,3352.3
344,3358.85
345,3174.72
345,3197.74
345,3233.18
345,3235.39
345,3308.34
346,3086.46
346,3243.43
346,3102.68
346,3108.37
346,3030.17
347,3071.29
347,3037.25
347,3066.14
347,3042.49
347,3047.45
348,3050.05
348,2983.6
348,2999.54
348,2878.78
349,3005.13
349,2906.61
349,3028.92
349,2919.37
349,2989.72
350,2929.91
350,3010.14
350,3008.74
350,3004.12
350,2990.25
351,3321.15
351,3299.19
351,3151.46
351,3208.43
351,3254.8
352,3368.92
352,3506.49
352,3448.8
352,3498.98
352,3595.52
353,3716
353,3835.99
353,3945.59
353,4092.88
354,4187.36
354,4303.16
354,4349.82
354,4755.36
354,4858.65
355,4950.91
355,5150.45
355,5448.89
355,5504.51
355,5849.66
356,6183.07
356,6485.71
356,6861.82
356,7071.28
356,7638.61
357,7773.2
357,8176.04
357,8308.84
357,8864.52
357,9200.91
358,9380.56
358,9930.03
358,10396.62
358,10775.62
359,11281.7
359,11559.54
359,12205.26
359,12641.66
359,13269.47
360,13638.46
360,14274.11
360,14689.47
360,15306.4
360,16004.89
361,16848.47
361,17862.17
361,18295.68
361,19337.79
361,19865.05
362,20822.9
362,20993.11
362,21856.19
362,22064.06
362,22379.89
363,22489.39
363,23134.53
363,23775.29
363,24632.88
364,27932.99
364,31215.18
364,33749.13
364,36645.72
364,37238.28
365,36520.43
365,34726.23
365,33241.27
365,32144.13
365,31121.09
366,30238.41
366,30089
366,28787.64
366,28892.37
366,28874.31
367,28538.5
367,28440.32
367,28032.66
367,28608.66
367,28279.63
368,28306.79
368,28122.75
368,27885.7
368,27707.15
369,27818.38
369,27671.23
369,27560.53
369,27486.66
369,27049.83
370,26888.66
370,26965.47
370,26509.99
370,26499.21
370,25853.3
371,25409.24
371,25325.65
371,25289.82
371,24930.8
371,24381.96
372,24195.95
372,23644.99
372,23481.85
372,22912.21
372,22780.18
373,22393.42
373,21971.8
373,21847.28
373,21007.27
373,20956.95
374,20298.42
374,19896.93
374,19798.8
374,19360.66
375,18850.39
375,18456.65
375,17981.15
375,17749.49
375,17342.7
376,17011.32
376,16801.09
376,16094.89
376,16044.19
376,15487.84
377,15184.67
377,14856.23
377,14709.65
377,14099.47
377,13673.8
378,13456.54
378,12998.47
378,12807.45
378,12492.25
378,12386.36
379,11881.29
379,11542.83
379,11409.79
379,10975.31
379,10719.62
380,10338.64
380,10097.84
380,9788.84
380,9937.68
381,9369.87
381,9113.08
381,8891.58
381,8666.03
381,8520.81
382,8166.12
382,7861.51
382,7787.5
382,7482.41
382,7269.33
383,7097
383,7006.47
383,6887.82
383,6466.11
383,6316.79
384,6187.16
384,5909.23
384,5754.42
384,5623.01
384,5492.62
385,5366.12
385,5097.96
385,4955.38
385,4942
385,4629.64
386,4568.19
386,4350.3
386,4270.28
386,4123.41
386,4124.13
387,3867.39
387,3786.16
387,3606.45
387,3580.16
388,3386.16
388,3291.15
388,3109.38
388,3088
388,3145.4
389,2943.35
389,2871.36
389,2773.52
389,2646.2
389,2586.88
390,2510.08
390,2483.26
390,2404.86
390,2195.45
390,2137.14
391,2047.53
391,1969.42
391,1975.68
391,1859.16
391,1854.97
392,1644.98
392,1594.42
392,1623.89
392,1695.01
392,1514.29
393,1460.41
393,1422.71
393,1445.77
393,1292.12
394,1300.3
394,1194.08
394,1230.82
394,1195.72
394,1053.81
395,1011.25
395,952.21
395,987.46
395,1011.39
395,940.37
396,937.04
396,885.76
396,859.9
396,749.11
396,865.35
397,782.76
397,767.64
397,680.92
397,723.92
397,723.92
398,669.51
398,605.56
398,586.74
398,613.17
398,672.5
399,592.9
399,600.56
399,485.33
399,420.18
399,501.32
400,490.48
400,428.8
400,529.1
400,367.89
400,434.62
401,419.99
401,429.76
401,463.37
401,414.5
402,311.6
402,445.56
402,316.32
402,394.56
402,339.24
403,524.67
403,513.93
403,1560.08
403,3996.68
403,6126.15
404,7601.49
404,8558.46
404,8489.8
404,6853.78
404,5452.17
405,4250.97
405,3424.73
405,2642.98
405,1968.12
405,1496.38
406,1011.2
406,691.81
406,535.7
406,594.06
406,630.8
407,857.4
407,938.63
407,1032.87
407,770.05
407,705.1
408,602
408,547.73
408,396.49
408,318.1
408,319.54
409,282.51
409,142.49
409,242.45
409,185.87
410,231.76
410,333.31
410,173.06
410,182.55
410,286.36
411,275.15
411,266.77
411,302.01
411,261.28
