,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12 bulbs ,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE,PN,Relative Light intensity ,,,SAMPLE BEFORE RAYONET,,,,,,PN,,,,,,,SAMPLE AFTER RAYONET,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
kobs(m-1),kobs (m-1),λ,Irradiation ,I corrected,λ,"Abs, t=0","Abs, t=0 corrected",S,I*Ab*S,Rabs,λ,Abs ( Ref. Sensitizer),S,I*Abs(ref)*S,Rabs(ref),φ1O2 (t=0),,λ,"Abs, t=300min","Abs, t=300min corrected",S,I300*Abs*S,Rabs,φ1O2 (t=end),[1O2]ss,
,,767,-6.286,0,767,-0.1394462734,0.0000,1.18,0.00,,767,0.001205057255,1.00,0.00,,,,767,-0.08880346268,0,1.11,0.00,,,,
,,766,8.92333333333333,8.92333333333333,766,-0.1395018846,0.0000,1.18,0.00,,766,0.001191221876,1.00,0.01,,,,766,-0.08871994913,0,1.11,0.00,,,,
,,765,16.0616666666667,16.0616666666667,765,-0.1396517605,0.0000,1.18,0.00,,765,0.001352159539,1.00,0.02,,,,765,-0.08872234821,0,1.11,0.00,,,,
,,764,11.765,11.765,764,-0.1395948529,0.0000,1.18,0.00,,764,0.001078297384,1.00,0.01,,,,764,-0.08852943033,0,1.11,0.00,,,,
,,763,38.544,38.544,763,-0.1395269632,0.0000,1.18,0.00,,763,0.001350549632,1.00,0.05,,,,763,-0.08875177056,0,1.11,0.00,,,,
,,762,22.6316666666667,22.6316666666667,762,-0.1397192776,0.0000,1.18,0.00,,762,0.001184213557,1.00,0.03,,,,762,-0.08857726306,0,1.11,0.00,,,,
,,761,3.22833333333333,3.22833333333333,761,-0.1394714266,0.0000,1.18,0.00,,761,0.001401966554,1.00,0.00,,,,761,-0.08851768821,0,1.11,0.00,,,,
,,760,16.978,16.978,760,-0.1398675293,0.0000,1.18,0.00,,760,0.001477155252,1.00,0.03,,,,760,-0.08853402734,0,1.11,0.00,,,,
,,759,-1.81833333333333,0,759,-0.1398993433,0.0000,1.18,0.00,,759,0.001175414305,1.00,0.00,,,,759,-0.08846929669,0,1.11,0.00,,,,
,,758,3.53166666666667,3.53166666666667,758,-0.1395036131,0.0000,1.18,0.00,,758,0.001336372108,1.00,0.00,,,,758,-0.08846621215,0,1.11,0.00,,,,
,,757,-1.894,0,757,-0.1398900449,0.0000,1.18,0.00,,757,0.001347823185,1.00,0.00,,,,757,-0.08844974637,0,1.11,0.00,,,,
,,756,-9.345,0,756,-0.1398809552,0.0000,1.18,0.00,,756,0.001046120189,1.00,0.00,,,,756,-0.08845552802,0,1.11,0.00,,,,
,,755,22.922,22.922,755,-0.1398625374,0.0000,1.18,0.00,,755,0.001201137551,1.00,0.03,,,,755,-0.08851599693,0,1.11,0.00,,,,
,,754,-3.11333333333333,0,754,-0.1398397684,0.0000,1.18,0.00,,754,0.001138506224,1.00,0.00,,,,754,-0.08860107511,0,1.11,0.00,,,,
,,753,4.595,4.595,753,-0.1401498318,0.0000,1.18,0.00,,753,0.001236415468,1.00,0.01,,,,753,-0.08851017058,0,1.11,0.00,,,,
,,752,10.46,10.46,752,-0.1398783028,0.0000,1.18,0.00,,752,0.001454791985,1.00,0.02,,,,752,-0.08852013946,0,1.11,0.00,,,,
,,751,20.9566666666667,20.9566666666667,751,-0.139992103,0.0000,1.18,0.00,,751,0.001270917361,1.00,0.03,,,,751,-0.08826375753,0,1.11,0.00,,,,
